"LabCode/Ref","Site (from main datasheet + 14c-palaeolithic)","Site_ID (from main datasheet)","Layer/Context (from main datasheet)","Additional info on layer/context not originally in the datasheet","TaxUnit (from main datasheet)","Conv_C14_date","Conv_std","AMS_C14_date","AMS_Pm/Std","OSL/TL date","Std-dev","Dated material","Dated species","Informaton on pretreatment","Source (Database/Literature)","Org. Lit. Reference (if given)","Other comments/observation",
"UG-20480","Lapa do Picareiro","NA","F/G",,"Magdalenian",,,11760,30,,,"charcoal",,,"Radiocarbon Palaeolithic Europe Database v27","Bicho N.F. 1999. Eraul 90: 55.  Benedetti MM Geoarchaeology. 2019;34:698–726.","from F, ZZ10",
"Beta-247964","Lapa do Picareiro","NA","F/G",,"Magdalenian",,,28610,300,,,"charcoal",,,"Radiocarbon Palaeolithic Europe Database v27","Bicho N.F. 1999. Eraul 90: 55.  Benedetti MM Geoarchaeology. 2019;34:698–726.","from level FF, F7",
"UG-20480","Lapa do Picareiro","NA","F/G",,"Magdalenian",,,11760,30,,,"charcoal",,,"Radiocarbon Palaeolithic Europe Database v27","Bicho N.F. 1999. Eraul 90: 55.  Benedetti MM Geoarchaeology. 2019;34:698–726.","from F, ZZ10",
"Beta-247964","Lapa do Picareiro","NA","F/G",,"Magdalenian",,,28610,300,,,"charcoal",,,"Radiocarbon Palaeolithic Europe Database v27","Bicho N.F. 1999. Eraul 90: 55.  Benedetti MM Geoarchaeology. 2019;34:698–726.","from level FF, F7",
"OxA-5527","Lapa do Picareiro","NA","F/G",,"Late Magdalenian",,,12320,90,,,"charcoal","Pinus",,"Radiocarbon Palaeolithic Europe Database v27","Bicho N.F. 1999. Eraul 90: 55.",,
"Beta-313434","Nerja","NA","Mina 16",,"Upper Magdalenian",,,11970,50,,,"charcoal","Quercus sp.",,"Radiocarbon Palaeolithic Europe Database v27","Djindjian F., J. Kozlowski & M. Otte 1999. Le Paleolithique superieur en Europe. Armand Colin, Paris. Jorda Pardo J. e. a. 2008. UNED1: 239-256. Alvarez Fernandez E. 2013. QI, ip",,
"Poz-53553","Nowa Biała 1","NowaBiala1",,,"ABP (Federmesser)",,,11270,60,,,"charcoal",,,"Radiocarbon Palaeolithic Europe Database v27","Rydlewski J. 1989 Pieninskie zloza radiolarytu i ich eksploatacja w epoce kamienia i wczesnej epoce brazu na Podhalu (in.) Acta Archaeologica Carpathica t.XXVIII.","from hearth",
"LOD-111","Olbrachcice 8",,,,"Hamburgian",12685,235,,,,,"charcoal",,,"Radiocarbon Palaeolithic Europe Database v27","Burdukiewicz J.K.1987 Late paleolithic settlements in the Kopanica valley, (in.) J.M. Burdukiewicz&M.Kobusiewicz (eds.) Late Glacial in Central Europe, Wroclaw-Warszawa-Kraków-Gdansk-Lódz","from hearth",
"OxA-10798","Parco","ParcoII","Unit II",,"Very final Upper Magdalenian",,,13175,60,,,"charcoal",,,"Radiocarbon Palaeolithic Europe Database v27","Bronk Ramsey C. et al. 2002. Archaeometry 44: 1-149.","from hearth",
"OxA-10835","Parco","ParcoII","Unit II",,"Very final Upper Magdalenian",,,12560,130,,,"charcoal",,,"Radiocarbon Palaeolithic Europe Database v27","Bronk Ramsey C. et al. 2002. Archaeometry 44: 1-149.","from hearth",
"OxA-10797","Parco","ParcoII","Unit II",,"Very final Upper Magdalenian",,,12460,60,,,"charcoal",,,"Radiocarbon Palaeolithic Europe Database v27","Bronk Ramsey C. et al. 2002. Archaeometry 44: 1-149.","from hearth",
"OxA-3530","Riparo Tagliente","RiparoTaglientelayer10","from (11?) 10 to 7 (4?)",,"Late Epigravettian ",,,12650,160,,,"charcoal",,,"Radiocarbon Palaeolithic Europe Database v27","Broglio A. 1996. Eraul: 289-304.","from layer 10a",
"OxA-3532","Riparo Tagliente","RiparoTaglientelayer10","from (11?) 10 to 7 (4?)",,"Late Epigravettian ",,,13270,170,,,"charcoal",,,"Radiocarbon Palaeolithic Europe Database v27","Broglio A. 1996. Eraul: 289-304.","from layer 10e",
"OxA-3531","Riparo Tagliente","RiparoTaglientelayer10","from (11?) 10 to 7 (4?)",,"Late Epigravettian ",,,13070,170,,,"charcoal",,,"Radiocarbon Palaeolithic Europe Database v27","Broglio A. 1996. Eraul: 289-304.","from layer 10c",
"Beta-158014","Santa Maira","NA","Unit 4.1",,"Sauveterrian/Sauveterroid",,,9820,40,,,"charcoal","Quercus sp.",,"Radiocarbon Palaeolithic Europe Database v27","Aura J.E. 2011. doi: 10.1016/j.quaint. Vadillo Conesa M. e.a. Zephyrus, LXXXIII, enero-junio 2019, 39-57",,
"Gro-828","Witow","Witow5Cassemblage1","level 5b assemblage 1",,"Witowian",10815,160,,,,,"charcoal",,,,,,
"Poz-19048","Wilczyce 10","Wilczyce10",,,"Late Magdalenian",,,13000,110,,,"charcoal",,,"Radiocarbon Palaeolithic Europe Database v27","Fiedorczuk J. & Schild R. 2002. Recent Studies in the Final Palaeolithic of the European plain: 91-108. Fiedorczuk J. e.a. 2007. Antiquity 81: 97-105. Irish J.D. e.a.  JHE 55 (2008) 736-740, Schild, R., 2014. Taphonomy and chronology of the settlement",,
"GrA-39336","Abauntz","NA","2r",,"Magdalenian VI, Upper magdalenian",,,12220,60,,,"charcoal associated with harpoon",,,"Radiocarbon Palaeolithic Europe Database v27","Utrilla P. et Mazo C., le versant sud des Pyrenées, IN: L'art préhistorique des Pyrénées. Musée des Antiquités Nationales.Corchon Rodriguez S. 2002.  Zephyrus 55:85-142.  Aura J.E. 2011. doi:10.1016/j.quaint",,
"AAR-2784","Ahrenshöft LA 58 d","AhrenshoeftLA58d","lower",,"Hamburgian, Havelte type, Late Havelte",,,12030,60,,,"charcoal from hearth D",,,"Radiocarbon Palaeolithic Europe Database v27","Valentin B. 2007. http://lara.inist.fr/bitstream/2332/1360/1/PCRTardi2007.pdf",,
"KIA-42245","Parupė","Parupe1",,,"Brommean",10399,47,,,,,"charcoal?",,,"Radiocarbon Palaeolithic Europe Database v27","Algirdas Girininkas, Istorija / 2017, t. 105, Nr. 1: 4-23, Ivanovaitė, L and Riede, F. 2018. The Final Palaeolithic Hunter-Gatherer Colonisation of Lithuania in Light of Recent Palaeoenvironmental Research. Open Quaternary, 4: 4, pp. 1–21,",,
"OxA-5116","Abauntz","NA","2r",,"Magdalenian VI, Upper magdalenian",,,11760,90,,,"charcoal","Horse",,"Radiocarbon Palaeolithic Europe Database v27","Utrilla P. et Mazo C., le versant sud des Pyrenées, IN: L'art préhistorique des Pyrénées. Musée des Antiquités Nationales.Corchon Rodriguez S. 2002.  Zephyrus 55:85-142.  Aura J.E. 2011. doi:10.1016/j.quaint",,
"GrN-11053","Kůlna Cave","Kulna6","layers 5 and 6",,"Older Magdalenian",11450,90,,,,,"charcoal",,,"Radiocarbon Palaeolithic Europe Database v27","Valoch K.2001. Jahrbuch des Romisch-Germanischen Zentralmuseums Mainz 48: 103-162. Bronk Ramsey C. e.a. Archaeometry 57, 1 (2015) 177-216. Nerudova Z. e.a.  2014. Archäologisches korrespondenzblatt 44: 312.","from D2/C,13-14/I-L",
"GrN-5097","Kůlna Cave","Kulna6","layers 5 and 6",,"Older Magdalenian",11590,80,,,,,"charcoal",,,"Radiocarbon Palaeolithic Europe Database v27","Valoch K.2001. Jahrbuch des Romisch-Germanischen Zentralmuseums Mainz 48: 103-162. Bronk Ramsey C. e.a. Archaeometry 57, 1 (2015) 177-216. Nerudova Z. e.a.  2014. Archäologisches korrespondenzblatt 44: 312.","from G1, 37-38/M,O",
"Beta-232939","Peña de Estebanvela","NA","Unit III",,"Final Magdalenian",,,12440,50,,,"charred material",,,"Radiocarbon Palaeolithic Europe Database v27","CachoC. 2003  Zl registro arqueologico del Pleistoceno superior final en el Abrigo de la Pena de Estebanvela. XI reunion nacional de cuaternario. Cacho C. e.a. 2010.Novedades del siglo XXI, Barcelona: 115-136. Cacho 2012.QI.",,
"Beta-232940","Peña de Estebanvela","NA","Unit III",,"Final Magdalenian",,,12070,40,,,"charred material",,,"Radiocarbon Palaeolithic Europe Database v27","CachoC. 2003  Zl registro arqueologico del Pleistoceno superior final en el Abrigo de la Pena de Estebanvela. XI reunion nacional de cuaternario. Cacho C. e.a. 2010.Novedades del siglo XXI, Barcelona: 115-136. Cacho 2012.QI.",,
"Beta-287757","Peña de Estebanvela","NA","Unit III",,"Final Magdalenian",,,12180,50,,,"charred material",,,"Radiocarbon Palaeolithic Europe Database v27","CachoC. 2003  Zl registro arqueologico del Pleistoceno superior final en el Abrigo de la Pena de Estebanvela. XI reunion nacional de cuaternario. Cacho C. e.a. 2010.Novedades del siglo XXI, Barcelona: 115-136. Cacho 2012.QI.",,
"Beta-287756","Peña de Estebanvela","NA","Unit III",,"Final Magdalenian",,,12900,60,,,"charred material",,,"Radiocarbon Palaeolithic Europe Database v27","CachoC. 2003  Zl registro arqueologico del Pleistoceno superior final en el Abrigo de la Pena de Estebanvela. XI reunion nacional de cuaternario. Cacho C. e.a. 2010.Novedades del siglo XXI, Barcelona: 115-136. Cacho 2012.QI.",,
"Ta-2606","Kabeliai 2","Kabeliai2","lower C layer",,"Final Palaeolithic",9910,100,,,,,"charred wood",,,"Radiocarbon Palaeolithic Europe Database v27","Ivanovaitė, L.  E.a.. 2018. The Final Palaeolithic Hunter-Gatherer Colonisation of Lithuania in Light of Recent Palaeoenvironmental Research. Open Quaternary, 4: 4, pp. 1–21,","Layer not mentioned in database",
"Ta-2601","Kabeliai 2","Kabeliai2",,,"Final Palaeolithic",9820,220,,,,,"charred wood",,,"Radiocarbon Palaeolithic Europe Database v27","Ivanovaitė, L.  E.a.. 2018. The Final Palaeolithic Hunter-Gatherer Colonisation of Lithuania in Light of Recent Palaeoenvironmental Research. Open Quaternary, 4: 4, pp. 1–21,","Layer not mentioned in database",
"BM-1494","La Riera","NA","27 upper",,"Azilian",10630,120,,,,,"collagen",,,"Radiocarbon Palaeolithic Europe Database v27","L. Straus, G. Clark, 1986, La Riera Cave, Anthropological Research Papers, 36, Tempe, Arizona.  Jones J.R. Scientific Reports volume 10, Article number: 1217 (2020",,
"K-4332","Poggenwisch D","Poggenwisch",,,"Classic Hamburgian",12570,115,,,,,"collagen of bone","Reindeer",,"Radiocarbon Palaeolithic Europe Database v27","Lanting J.N.,Van der Plicht J., I996, De 14 C-Chronologie van de Nederlandse Pre-en Protohistorie, I: Laat-Palaeolithicum. Palaeohistoria 37/38: 7I-125.Hamburgian. Valentin B. 2007. http://lara.inist.fr/bitstream/2332/1360/1/PCRTardi2007.pdf;",,
"K-4577","Poggenwisch D","Poggenwisch",,,"Classic Hamburgian",12440,115,,,,,"collagen of bone","Reindeer",,"Radiocarbon Palaeolithic Europe Database v27","Lanting J.N.,Van der Plicht J., I996, De 14 C-Chronologie van de Nederlandse Pre-en Protohistorie, I: Laat-Palaeolithicum. Palaeohistoria 37/38: 7I-125.Hamburgian. Valentin B. 2007. http://lara.inist.fr/bitstream/2332/1360/1/PCRTardi2007.pdf;",,
"K-4577","Poggenwisch D","Poggenwisch",,,"Classic Hamburgian",12440,115,,,,,"collagen of bone","Reindeer",,"Radiocarbon Palaeolithic Europe Database v27","Lanting J.N.,Van der Plicht J., I996, De 14 C-Chronologie van de Nederlandse Pre-en Protohistorie, I: Laat-Palaeolithicum. Palaeohistoria 37/38: 7I-125.Hamburgian. Valentin B. 2007. http://lara.inist.fr/bitstream/2332/1360/1/PCRTardi2007.pdf;",,
"K-4577","Poggenwisch D","Poggenwisch",,,"Classic Hamburgian",12440,115,,,,,"collagen of bone","Reindeer",,"Radiocarbon Palaeolithic Europe Database v27","Lanting J.N.,Van der Plicht J., I996, De 14 C-Chronologie van de Nederlandse Pre-en Protohistorie, I: Laat-Palaeolithicum. Palaeohistoria 37/38: 7I-125.Hamburgian. Valentin B. 2007. http://lara.inist.fr/bitstream/2332/1360/1/PCRTardi2007.pdf;",,
"K-4332","Poggenwisch D","Poggenwisch",,,"Classic Hamburgian",12570,115,,,,,"collagen of bone","reindeer",,"Radiocarbon Palaeolithic Europe Database v27","Lanting J.N.,Van der Plicht J., I996, De 14 C-Chronologie van de Nederlandse Pre-en Protohistorie, I: Laat-Palaeolithicum. Palaeohistoria 37/38: 7I-125.Hamburgian. Valentin B. 2007. http://lara.inist.fr/bitstream/2332/1360/1/PCRTardi2007.pdf;",,
"K-4331","Poggenwisch D","Poggenwisch",,,"Classic Hamburgian",12440,115,,,,,"collagen of bone","Reindeer",,"Radiocarbon Palaeolithic Europe Database v27","Lanting J.N.,Van der Plicht J., I996, De 14 C-Chronologie van de Nederlandse Pre-en Protohistorie, I: Laat-Palaeolithicum. Palaeohistoria 37/38: 7I-125.Hamburgian. Valentin B. 2007. http://lara.inist.fr/bitstream/2332/1360/1/PCRTardi2007.pdf;",,
"K-4331","Poggenwisch D","Poggenwisch",,,"Classic Hamburgian",12440,115,,,,,"collagen of bone","Reindeer",,"Radiocarbon Palaeolithic Europe Database v27","Lanting J.N.,Van der Plicht J., I996, De 14 C-Chronologie van de Nederlandse Pre-en Protohistorie, I: Laat-Palaeolithicum. Palaeohistoria 37/38: 7I-125.Hamburgian. Valentin B. 2007. http://lara.inist.fr/bitstream/2332/1360/1/PCRTardi2007.pdf;",,
"K-4331","Poggenwisch D","Poggenwisch",,,"Classic Hamburgian",12440,115,,,,,"collagen of bone","Reindeer",,"Radiocarbon Palaeolithic Europe Database v27","Lanting J.N.,Van der Plicht J., I996, De 14 C-Chronologie van de Nederlandse Pre-en Protohistorie, I: Laat-Palaeolithicum. Palaeohistoria 37/38: 7I-125.Hamburgian. Valentin B. 2007. http://lara.inist.fr/bitstream/2332/1360/1/PCRTardi2007.pdf;",,
"K-4332","Poggenwisch D","Poggenwisch",,,"Classic Hamburgian",12570,115,,,,,"collagen of bone","Reindeer",,"Radiocarbon Palaeolithic Europe Database v27","Lanting J.N.,Van der Plicht J., I996, De 14 C-Chronologie van de Nederlandse Pre-en Protohistorie, I: Laat-Palaeolithicum. Palaeohistoria 37/38: 7I-125.Hamburgian. Valentin B. 2007. http://lara.inist.fr/bitstream/2332/1360/1/PCRTardi2007.pdf;",,
"AAR-15034","Friesack 4",,,,"Epi Ahrensburgian",,,10277,28,,,"Cranium","Human",,"Radiocarbon Palaeolithic Europe Database v27","Gob 1990. Yates A.B. e.a. 2015. JAS 61: 45-58. J Meadows et al. Radiocarbon, Vol 60, Nr 5, 2018, p 1621-1636,","1977:7/B129 strayfind from dredging",
"AAR-15034","Friesack 4",,,,"Epi Ahrensburgian",,,10277,28,,,"Cranium","Human",,"Radiocarbon Palaeolithic Europe Database v27","Gob 1990. Yates A.B. e.a. 2015. JAS 61: 45-58. J Meadows et al. Radiocarbon, Vol 60, Nr 5, 2018, p 1621-1636,","1977:7/B129 strayfind from dredging",
"AAR-15034","Friesack 4",,,,"Epi Ahrensburgian",,,10277,28,,,"Cranium","Human",,"Radiocarbon Palaeolithic Europe Database v27","Gob 1990. Yates A.B. e.a. 2015. JAS 61: 45-58. J Meadows et al. Radiocarbon, Vol 60, Nr 5, 2018, p 1621-1636,","1977:7/B129 strayfind from dredging, ",
"AAR-15034","Friesack 4",,,,"Epi Ahrensburgian",,,10277,28,,,"Cranium","Human",,"Radiocarbon Palaeolithic Europe Database v27","Gob 1990. Yates A.B. e.a. 2015. JAS 61: 45-58. J Meadows et al. Radiocarbon, Vol 60, Nr 5, 2018, p 1621-1636,","1977:7/B129 strayfind from dredging",
"AAR-15034","Friesack 4",,,,"Epi Ahrensburgian",,,10277,28,,,"Cranium","Human",,"Radiocarbon Palaeolithic Europe Database v27","Gob 1990. Yates A.B. e.a. 2015. JAS 61: 45-58. J Meadows et al. Radiocarbon, Vol 60, Nr 5, 2018, p 1621-1636,","1977:7/B129 strayfind from dredging",
"AAR-15034","Friesack 4",,,,"Epi Ahrensburgian",,,10277,28,,,"Cranium","Human",,"Radiocarbon Palaeolithic Europe Database v27","Gob 1990. Yates A.B. e.a. 2015. JAS 61: 45-58. J Meadows et al. Radiocarbon, Vol 60, Nr 5, 2018, p 1621-1636,","1977:7/B129 strayfind from dredging",
"AAR-15034","Friesack 4",,,,"Epi Ahrensburgian",,,10277,28,,,"Cranium","Human",,"Radiocarbon Palaeolithic Europe Database v27","Gob 1990. Yates A.B. e.a. 2015. JAS 61: 45-58. J Meadows et al. Radiocarbon, Vol 60, Nr 5, 2018, p 1621-1636,","1977:7/B129 strayfind from dredging",
"AAR-15034","Friesack 4",,,,"Epi Ahrensburgian",,,10277,28,,,"Cranium","Human",,"Radiocarbon Palaeolithic Europe Database v27","Gob 1990. Yates A.B. e.a. 2015. JAS 61: 45-58. J Meadows et al. Radiocarbon, Vol 60, Nr 5, 2018, p 1621-1636,","1977:7/B129 strayfind from dredging",
"AAR-15034","Friesack 4",,,,"Epi Ahrensburgian",,,10277,28,,,"Cranium","Human",,"Radiocarbon Palaeolithic Europe Database v27","Gob 1990. Yates A.B. e.a. 2015. JAS 61: 45-58. J Meadows et al. Radiocarbon, Vol 60, Nr 5, 2018, p 1621-1636,","1977:7/B129 strayfind from dredging",
"KIA-26439","Weitsche","Weitsche","surface",,"Federmesser",,,11980,120,,,"cremated bone",,,"Radiocarbon Palaeolithic Europe Database v27","Veil S. e.a.  2002. Recent Studies in the Final Palaeolithic of the European plain: 129-138. Veil S. e.a. http://antiquity.ac.uk/ant/086/ant0860660.htm",,
"KIA-35664","Weitsche","Weitsche","surface",,"Federmesser",,,11755,50,,,"cremated bone",,,"Radiocarbon Palaeolithic Europe Database v27","Veil S. e.a.  2002. Recent Studies in the Final Palaeolithic of the European plain: 129-138. Veil S. e.a. http://antiquity.ac.uk/ant/086/ant0860660.htm",,
"OxA-3404","Pin Hole Cave","PinHoleCave",,,"Late? Upper Palaeolithic (Creswellian)",,,12510,110,,,"cut distal tibia  ","Lepus timidus",,"Radiocarbon Palaeolithic Europe Database v27","Archaeometry 36, 2 (1994) 337 - 74","40/4'-6''",
"OxA-5744","Abri Schweizersbild","AbriSchweizersbild","Untere Fundschicht",,"Late Magdalenian/Technokomplex E",,,11780,90,,,"cutmarked bone","?Reindeer",,"Radiocarbon Palaeolithic Europe Database v27","Höneisen, M. & Peyer, S. 1994",,
"GrA-18762 (LYON-1553)","Le Closeau","LeCloseauLocus4","lower",,"Federmesser lower (Azilien)",,,11640,70,,,"diaphyse os long ","sanglier",,"Radiocarbon Palaeolithic Europe Database v27","Bodu,P.,Que sont devenus les Magdaléniens du Bassin parisien? Quelques éléments de réponse sur le gisement azilien du CloseauIn : Valentin,B...p.315-339. Mevel L. 2013. BSPF 110: 657-689.",,
"OxA-4108","Church Hole Cave","NA","unstratified assemblage",,"Late? Upper Palaeolithic (Creswellian)",,,12110,120,,,"femur","Lepus timidus",,"Radiocarbon Palaeolithic Europe Database v27","Archaeometry 36, 2 (1994) 337 - 74","P2120 ",
"ETH-8774","Grotte de Bichon","GrottedeBichon",,,"Final Palaeolithic, Azilian",,,11610,110,,,"femur","Human",,"Radiocarbon Palaeolithic Europe Database v27","Morel, P. 1992. David G. 1996. Gallia Prehistoire 38: 111-248. F.-X. Chauvière (Ed.), La grotte du Bichon. Un site préhistorique des montagnes neuchâteloises, Neuchâtel, Office et musée cantonal d'archéologie, Hauterive (2008)",,
"OxA-5794","Pixie's Hole Cave","PixiesHole","stratified",,"Alleroed CBP",,,11630,120,,,"Bos primigenius bone",,,"Radiocarbon Palaeolithic Europe Database v30","Archaeometry 40, 1 (1998) 227 - 239",,
"OxA-5795","Pixie's Hole Cave","PixiesHole","stratified",,"Alleroed CBP",,,11910,90,,,"Bos primigenius bone",,,"Radiocarbon Palaeolithic Europe Database v30","Archaeometry 40, 1 (1998) 227 - 240",,
"OxA-5796","Pixie's Hole Cave","PixiesHole","stratified",,"Alleroed CBP",,,12070,90,,,"Cervus elaphus bone",,,"Radiocarbon Palaeolithic Europe Database v30","Archaeometry 40, 1 (1998) 227 - 241",,
"OxA-14476","Sun Hole (2)","SunHole",,,"Late? Upper Palaeolithic (Creswellian)",,,12610,90,,,"fractured right P4","Equus ferus",,"Radiocarbon Palaeolithic Europe Database v27","Richards M., Hedges R. 2000. JAS 27: 1-89. Otte M., 1997. In Fagnart & Thevenin, Le Tardiglaciaire en Europe du Nord-ouest: 363. Jacobi R.M.2009. QSR 28: 1895-1913.",,
"OxA-14476","Sun Hole (2)","SunHole",,,"Late? Upper Palaeolithic (Creswellian)",,,12610,90,,,"fractured right P4","Equus ferus",,"Radiocarbon Palaeolithic Europe Database v27","Richards M., Hedges R. 2000. JAS 27: 1-89. Otte M., 1997. In Fagnart & Thevenin, Le Tardiglaciaire en Europe du Nord-ouest: 363. Jacobi R.M.2009. QSR 28: 1895-1913.",,
"OxA-14476","Sun Hole (2)","SunHole",,,"Late? Upper Palaeolithic (Creswellian)",,,12610,90,,,"fractured right P4","Equus ferus",,"Radiocarbon Palaeolithic Europe Database v27","Richards M., Hedges R. 2000. JAS 27: 1-89. Otte M., 1997. In Fagnart & Thevenin, Le Tardiglaciaire en Europe du Nord-ouest: 363. Jacobi R.M.2009. QSR 28: 1895-1913.",,
"OxA-14438","Sun Hole (2)","SunHole",,,"Late? Upper Palaeolithic (Creswellian)",,,12545,55,,,"fractured shaft fragment of left tibia","Equus ferus",,"Radiocarbon Palaeolithic Europe Database v27","Richards M., Hedges R. 2000. JAS 27: 1-89. Otte M., 1997. In Fagnart & Thevenin, Le Tardiglaciaire en Europe du Nord-ouest: 363. Jacobi R.M.2009. QSR 28: 1895-1913.",,
"OxA-14438","Sun Hole (2)","SunHole",,,"Late? Upper Palaeolithic (Creswellian)",,,12545,55,,,"fractured shaft fragment of left tibia","Equus ferus",,"Radiocarbon Palaeolithic Europe Database v27","Richards M., Hedges R. 2000. JAS 27: 1-89. Otte M., 1997. In Fagnart & Thevenin, Le Tardiglaciaire en Europe du Nord-ouest: 363. Jacobi R.M.2009. QSR 28: 1895-1913.",,
"OxA-14438","Sun Hole (2)","SunHole",,,"Late? Upper Palaeolithic (Creswellian)",,,12545,55,,,"fractured shaft fragment of left tibia","Equus ferus",,"Radiocarbon Palaeolithic Europe Database v27","Richards M., Hedges R. 2000. JAS 27: 1-89. Otte M., 1997. In Fagnart & Thevenin, Le Tardiglaciaire en Europe du Nord-ouest: 363. Jacobi R.M.2009. QSR 28: 1895-1913.",,
"OxA-14438","Sun Hole (2)","SunHole",,,"Late? Upper Palaeolithic (Creswellian)",,,12545,55,,,"fractured shaft fragment of left tibia","Equus ferus",,"Radiocarbon Palaeolithic Europe Database v27","Richards M., Hedges R. 2000. JAS 27: 1-89. Otte M., 1997. In Fagnart & Thevenin, Le Tardiglaciaire en Europe du Nord-ouest: 363. Jacobi R.M.2009. QSR 28: 1895-1913.",,
"GrA-11665 (LYON-790)","Le Closeau","LeCloseauLocus46","inf",,"Azilian, Federmesser",,,12360,60,,,"fragment femur ","cervide",,"Radiocarbon Palaeolithic Europe Database v27","Jacobi R.M. e.a. 2009. QSR 28: 1895-1913. Henry-Gambier D. e. a.. 2013. BSPF:645-656. Mevel L. 2013. BSPF 110: 657-690.",,
"OxA-3718","Church Hole Cave","NA","unstratified assemblage",,"Late? Upper Palaeolithic (Creswellian)",,,12250,90,,,"fragment of antler rods","Reindeer",,"Radiocarbon Palaeolithic Europe Database v27","Archaeometry 36, 2 (1994) 337 - 74"," with 'scooped' end",
"GrA-11664 (LYON-789)","Le Closeau","LeCloseauLocus46","inf",,"Azilian, Federmesser",,,12350,60,,,"fragment tibia ","cheval",,"Radiocarbon Palaeolithic Europe Database v27","Jacobi R.M. e.a. 2009. QSR 28: 1895-1913. Henry-Gambier D. e. a.. 2013. BSPF:645-656. Mevel L. 2013. BSPF 110: 657-690.",,
"AAR-17464","Krogsboelle",,,,"Hamburgian",12710,55,,,,,"Gull",,,"Riede et al. 2019","Riede et al. 2019",,"only indirectly linked to occupation"
"OxA-12079/LYON-2102","Bois Ragot (niv.5)","BoisRagotniv5,BoisRagot",,,"Upper Magdalenian",,,12560,50,,,"Harpoon fragment",,,"Radiocarbon Palaeolithic Europe Database v27","http://pageperso.aol.fr/vdujardin/14C.html, Aude  CHEVALLIER NOUVELLES DATATIONS RADIOCARBONE DES NIVEAUX AZILIENS DE LA GROTTE DU BOIS-RAGOT",,
"Beta-210729","Balma de guilanya","NA","E",,"Azilian",,,10940,50,,,"hazelnut",,,"Radiocarbon Palaeolithic Europe Database v27","Fullola i Perricot J.  2006. ERAUL 115: 129-133. Garcia-Guixe E. 2009. JAS 36: 1018-1026.",,
,"Monruz, profile 22","NeuchateMonruz","secteur 2",,"Ancient Azilian",,,12120,170,,,"hearth charcoal",,,"Radiocarbon Palaeolithic Europe Database v27","Mevel L. 2013. BSPF 110: 657-689.","No lab code?",
,"Monruz, profile 22","NeuchateMonruz","secteur 2",,"Ancient Azilian",,,12550,130,,,"hearth charcoal",,,"Radiocarbon Palaeolithic Europe Database v27","Mevel L. 2013. BSPF 110: 657-689.","No lab code?",
"OxA-0735","Church Hole Cave","NA","unstratified assemblage",,"Late? Upper Palaeolithic (Creswellian)",,,12240,150,,,"humerus shaft","mountain hare",,"Radiocarbon Palaeolithic Europe Database v27","Archaeometry 28, 2 (1986) 206 - 21"," LL7431",
"OxA-26545","Wilczyce 10","Wilczyce10",,,"Late Magdalenian",,,13155,65,,,"Ivory",,,"Radiocarbon Palaeolithic Europe Database v27","Fiedorczuk J. & Schild R. 2002. Recent Studies in the Final Palaeolithic of the European plain: 91-108. Fiedorczuk J. e.a. 2007. Antiquity 81: 97-105. Irish J.D. e.a.  JHE 55 (2008) 736-740, Schild, R., 2014. Taphonomy and chronology of the settlement",,
"OxA-18705","Sun Hole (2)","SunHole",,,"Late? Upper Palaeolithic (Creswellian)",,,12490,45,,,"left M1","Equus ferus",,"Radiocarbon Palaeolithic Europe Database v27","Richards M., Hedges R. 2000. JAS 27: 1-89. Otte M., 1997. In Fagnart & Thevenin, Le Tardiglaciaire en Europe du Nord-ouest: 363. Jacobi R.M.2009. QSR 28: 1895-1913.","cut-marked ",
"OxA-18705","Sun Hole (2)","SunHole",,,"Late? Upper Palaeolithic (Creswellian)",,,12490,45,,,"left M1","Equus ferus",,"Radiocarbon Palaeolithic Europe Database v27","Richards M., Hedges R. 2000. JAS 27: 1-89. Otte M., 1997. In Fagnart & Thevenin, Le Tardiglaciaire en Europe du Nord-ouest: 363. Jacobi R.M.2009. QSR 28: 1895-1913.","cut-marked",
"OxA-18705","Sun Hole (2)","SunHole",,,"Late? Upper Palaeolithic (Creswellian)",,,12490,45,,,"left M1","Equus ferus",,"Radiocarbon Palaeolithic Europe Database v27","Richards M., Hedges R. 2000. JAS 27: 1-89. Otte M., 1997. In Fagnart & Thevenin, Le Tardiglaciaire en Europe du Nord-ouest: 363. Jacobi R.M.2009. QSR 28: 1895-1913.","cut-marked",
"OxA-18705","Sun Hole (2)","SunHole",,,"Late? Upper Palaeolithic (Creswellian)",,,12490,45,,,"left M1","Equus ferus",,"Radiocarbon Palaeolithic Europe Database v27","Richards M., Hedges R. 2000. JAS 27: 1-89. Otte M., 1997. In Fagnart & Thevenin, Le Tardiglaciaire en Europe du Nord-ouest: 363. Jacobi R.M.2009. QSR 28: 1895-1913.","cut-marked",
"OxA-535","Sun Hole","SunHole","5th foor of pleistocene sediment",,"Late Palaeolithic",,,12210,160,,,"Left ulna","Human",,"Radiocarbon Palaeolithic Europe Database v27","Archaeometry, 28, 1986, 118",,
"ETH-9641","Altwasserhoehle","Altwasser","OK Schicht C; UK Schicht B",,"Epigravettiano recente",10240,85,,,,,"bone"," cf. Capra ibex",,"Radiocarbon Palaeolithic Europe Database v27","Jagher, et al. 1997. Le Tensorer J.-M. 1998. Le Paléolithique en Suisse. J. Millon.","long bone fragment intentionally broken",
